source,target,demand_value
ATLAM5,ATLAng,0.522208
ATLAM5,CHINng,1.641339
ATLAM5,DNVRng,0.335728
ATLAM5,HSTNng,0.413032
ATLAM5,IPLSng,0.489875
ATLAM5,KSCYng,0.365077
ATLAM5,LOSAng,0.817869
ATLAM5,NYCMng,0.452061
ATLAM5,SNVAng,0.747405
ATLAM5,STTLng,0.388317
ATLAM5,WASHng,3.14164
ATLAng,ATLAM5,0.445149
ATLAng,CHINng,16.283117
ATLAng,DNVRng,5.169035
ATLAng,HSTNng,3.931403
ATLAng,IPLSng,27.351896
ATLAng,KSCYng,4.844035
ATLAng,LOSAng,18.231909
ATLAng,NYCMng,12.803955
ATLAng,SNVAng,1.421888
ATLAng,STTLng,8.957483
ATLAng,WASHng,51.748245
CHINng,ATLAM5,3.793693
CHINng,ATLAng,12.735325
CHINng,DNVRng,13.738253
CHINng,HSTNng,9.830336
CHINng,IPLSng,26.359776
CHINng,KSCYng,6.537749
CHINng,LOSAng,27.775901
CHINng,NYCMng,14.098339
CHINng,SNVAng,1.816941
CHINng,STTLng,4.495256
CHINng,WASHng,10.647053
DNVRng,ATLAM5,0.230805
DNVRng,ATLAng,2.341483
DNVRng,CHINng,38.518189
DNVRng,HSTNng,8.408763
DNVRng,IPLSng,7.207741
DNVRng,KSCYng,3.948899
DNVRng,LOSAng,21.375568
DNVRng,NYCMng,5.723408
DNVRng,SNVAng,14.385464
DNVRng,STTLng,10.609464
DNVRng,WASHng,12.248861
HSTNng,ATLAM5,0.239043
HSTNng,ATLAng,2.956779
HSTNng,CHINng,16.891501
HSTNng,DNVRng,3.693019
HSTNng,IPLSng,9.143904
HSTNng,KSCYng,7.130168
HSTNng,LOSAng,98.457928
HSTNng,NYCMng,7.265264
HSTNng,SNVAng,2.947376
HSTNng,STTLng,2.237597
HSTNng,WASHng,8.506651
IPLSng,ATLAM5,4.766925
IPLSng,ATLAng,9.254733
IPLSng,CHINng,122.044576
IPLSng,DNVRng,21.378197
IPLSng,HSTNng,33.173784
IPLSng,KSCYng,9.89084
IPLSng,LOSAng,24.405043
IPLSng,NYCMng,40.616099
IPLSng,SNVAng,3.466387
IPLSng,STTLng,13.892187
IPLSng,WASHng,41.138093
KSCYng,ATLAM5,0.42096
KSCYng,ATLAng,4.443563
KSCYng,CHINng,26.972272
KSCYng,DNVRng,5.394304
KSCYng,HSTNng,5.476104
KSCYng,IPLSng,8.017757
KSCYng,LOSAng,8.673584
KSCYng,NYCMng,12.842411
KSCYng,SNVAng,1.223752
KSCYng,STTLng,2.444272
KSCYng,WASHng,12.048437
LOSAng,ATLAM5,0.339661
LOSAng,ATLAng,19.394589
LOSAng,CHINng,89.723683
LOSAng,DNVRng,9.039381
LOSAng,HSTNng,9.030867
LOSAng,IPLSng,42.720251
LOSAng,KSCYng,13.570251
LOSAng,NYCMng,61.164419
LOSAng,SNVAng,2.311541
LOSAng,STTLng,25.519453
LOSAng,WASHng,55.726387
NYCMng,ATLAM5,3.89764
NYCMng,ATLAng,40.88784
NYCMng,CHINng,53.674288
NYCMng,DNVRng,16.345053
NYCMng,HSTNng,23.987787
NYCMng,IPLSng,83.325448
NYCMng,KSCYng,24.767283
NYCMng,LOSAng,71.02256
NYCMng,SNVAng,9.591352
NYCMng,STTLng,21.934557
NYCMng,WASHng,111.860741
SNVAng,ATLAM5,0.026667
SNVAng,ATLAng,1.041205
SNVAng,CHINng,5.046067
SNVAng,DNVRng,10.406912
SNVAng,HSTNng,1.436683
SNVAng,IPLSng,3.861611
SNVAng,KSCYng,2.097072
SNVAng,LOSAng,2.000211
SNVAng,NYCMng,2.211461
SNVAng,STTLng,3.297648
SNVAng,WASHng,1.987707
STTLng,ATLAM5,0.111019
STTLng,ATLAng,15.881547
STTLng,CHINng,22.512587
STTLng,DNVRng,4.341176
STTLng,HSTNng,11.302768
STTLng,IPLSng,7.691184
STTLng,KSCYng,2.260848
STTLng,LOSAng,17.766373
STTLng,NYCMng,24.845373
STTLng,SNVAng,4.755005
STTLng,WASHng,10.517379
WASHng,ATLAM5,11.219101
WASHng,ATLAng,125.937728
WASHng,CHINng,66.541197
WASHng,DNVRng,36.063421
WASHng,HSTNng,15.439312
WASHng,IPLSng,62.781813
WASHng,KSCYng,32.642733
WASHng,LOSAng,91.675627
WASHng,NYCMng,133.661405
WASHng,SNVAng,1.980576
WASHng,STTLng,29.760203
ATLAM5,ATLAng,0.465701
ATLAM5,CHINng,0.868099
ATLAM5,DNVRng,0.148347
ATLAM5,HSTNng,0.398701
ATLAM5,IPLSng,1.821269
ATLAM5,KSCYng,0.402144
ATLAM5,LOSAng,1.090848
ATLAM5,NYCMng,0.585203
ATLAM5,STTLng,0.680696
ATLAM5,WASHng,2.914819
ATLAng,ATLAM5,0.499035
ATLAng,CHINng,17.444192
ATLAng,DNVRng,5.09924
ATLAng,HSTNng,7.306837
ATLAng,IPLSng,25.253677
ATLAng,KSCYng,4.773221
ATLAng,LOSAng,25.9894
ATLAng,NYCMng,13.738379
ATLAng,SNVAng,0.991819
ATLAng,STTLng,9.093152
ATLAng,WASHng,62.707424
CHINng,ATLAM5,4.423461
CHINng,ATLAng,10.429216
CHINng,DNVRng,15.406552
CHINng,HSTNng,7.405221
CHINng,IPLSng,25.659392
CHINng,KSCYng,6.483909
CHINng,LOSAng,27.465293
CHINng,NYCMng,15.207293
CHINng,SNVAng,1.783389
CHINng,STTLng,5.072277
CHINng,WASHng,13.678915
DNVRng,ATLAM5,0.283827
DNVRng,ATLAng,2.443963
DNVRng,CHINng,41.675637
DNVRng,HSTNng,2.869104
DNVRng,IPLSng,8.349216
DNVRng,KSCYng,3.385888
DNVRng,LOSAng,16.456107
DNVRng,NYCMng,7.873355
DNVRng,SNVAng,15.107368
DNVRng,STTLng,9.973344
DNVRng,WASHng,11.173251
HSTNng,ATLAM5,3.166544
HSTNng,ATLAng,2.534144
HSTNng,CHINng,17.445675
HSTNng,DNVRng,4.627944
HSTNng,IPLSng,6.157125
HSTNng,KSCYng,6.661373
HSTNng,LOSAng,5.138083
HSTNng,NYCMng,8.605707
HSTNng,SNVAng,2.511808
HSTNng,STTLng,2.409445
HSTNng,WASHng,8.293877
IPLSng,ATLAM5,3.786776
IPLSng,ATLAng,9.650589
IPLSng,CHINng,77.014584
IPLSng,DNVRng,21.205939
IPLSng,HSTNng,19.254947
IPLSng,KSCYng,9.155389
IPLSng,LOSAng,84.546755
IPLSng,NYCMng,35.584275
IPLSng,SNVAng,4.579805
IPLSng,STTLng,13.033984
IPLSng,WASHng,38.222091
KSCYng,ATLAM5,0.454717
KSCYng,ATLAng,6.710717
KSCYng,CHINng,29.086512
KSCYng,DNVRng,5.540555
KSCYng,HSTNng,6.24296
KSCYng,IPLSng,8.623397
KSCYng,LOSAng,10.303304
KSCYng,NYCMng,12.227507
KSCYng,SNVAng,1.384797
KSCYng,STTLng,2.875872
KSCYng,WASHng,11.953563
LOSAng,ATLAM5,0.129656
LOSAng,ATLAng,25.966557
LOSAng,CHINng,87.680389
LOSAng,DNVRng,7.252936
LOSAng,HSTNng,17.979152
LOSAng,IPLSng,43.283755
LOSAng,KSCYng,12.992808
LOSAng,NYCMng,56.865205
LOSAng,SNVAng,2.163741
LOSAng,STTLng,28.771483
LOSAng,WASHng,57.052603
NYCMng,ATLAM5,2.962059
NYCMng,ATLAng,35.657192
NYCMng,CHINng,47.965355
