source,target,demand_value
NYCMng,SNVAng,34.876876122188115
ATLAM5,NYCMng,5.6527894985016465
NYCMng,ATLAng,10.201184376093906
ATLAM5,SNVAng,2.1583744192932657
NYCMng,HSTNng,6.533490695115102
NYCMng,DNVRng,16.70824198976294
SNVAng,IPLSng,59.67329700999181
CHINng,SNVAng,12.383215051809936
HSTNng,IPLSng,7.877602723694482
LOSAng,HSTNng,6.831958621536945
CHINng,IPLSng,7.70940695036048
KSCYng,LOSAng,23.994200635183244
CHINng,KSCYng,15.712662699412826
KSCYng,CHINng,4.616175733922648
LOSAng,IPLSng,12.529979003287881
SNVAng,LOSAng,44.66275247224018
LOSAng,DNVRng,8.907992406818218
ATLAng,NYCMng,5.575999191389943
IPLSng,ATLAng,3.0998155937337026
IPLSng,ATLAng,2.6654066315943856
HSTNng,SNVAng,24.101991883917293
SNVAng,ATLAng,26.44117052904699
SNVAng,NYCMng,38.39672986964001
STTLng,ATLAM5,8.134585212822802
SNVAng,ATLAng,19.263786383999314
KSCYng,HSTNng,6.771739229142475
IPLSng,SNVAng,31.077333499721778
NYCMng,SNVAng,91.27395305059092
HSTNng,SNVAng,28.93291393475975
DNVRng,SNVAng,16.159166767852852
HSTNng,NYCMng,36.412739228177706
NYCMng,SNVAng,37.81438939682514
SNVAng,LOSAng,66.23052782483644
NYCMng,KSCYng,25.828696229555106
DNVRng,SNVAng,18.91007469099616
NYCMng,CHINng,19.633093487406192
ATLAM5,SNVAng,2.5412760811907744
LOSAng,CHINng,7.733200394581346
STTLng,IPLSng,149.18077520307142
NYCMng,KSCYng,13.028764723021494
HSTNng,ATLAng,2.0644524604958012
NYCMng,KSCYng,13.283997158993717
CHINng,HSTNng,2.0633119986402324
DNVRng,SNVAng,18.302227114314803
DNVRng,LOSAng,18.77926375572057
ATLAM5,SNVAng,2.2184943229063707
CHINng,LOSAng,12.321054144747713
CHINng,HSTNng,6.280897975397551
STTLng,ATLAM5,16.258138128438528
KSCYng,NYCMng,73.47372884242299
KSCYng,SNVAng,42.88021098756759
NYCMng,HSTNng,15.709630961757231
SNVAng,ATLAM5,1.144840865246064
SNVAng,LOSAng,55.64385183484698
HSTNng,ATLAng,3.1881841797391437
HSTNng,KSCYng,10.485490479959605
DNVRng,CHINng,1.8386936254506956
CHINng,ATLAM5,0.1371565296066451
DNVRng,CHINng,1.1772071568838445
ATLAng,NYCMng,4.7320419905851505
CHINng,KSCYng,6.153705425343217
ATLAM5,CHINng,0.8975707953315449
CHINng,HSTNng,7.433825795050602
HSTNng,SNVAng,25.397349267066513
IPLSng,KSCYng,14.285595619511827
IPLSng,NYCMng,30.259444733124457
CHINng,KSCYng,6.602033916286847
CHINng,NYCMng,12.930230084561574
IPLSng,ATLAng,3.0016996784351138
SNVAng,HSTNng,30.137111903464042
NYCMng,IPLSng,32.8682771383355
HSTNng,KSCYng,6.682100430504973
SNVAng,CHINng,19.977444136583408
KSCYng,SNVAng,46.58523808099217
HSTNng,KSCYng,15.217329616195135
ATLAM5,KSCYng,1.3963653167565524
LOSAng,SNVAng,55.086417181812415
ATLAM5,KSCYng,1.4851297810838666
SNVAng,LOSAng,37.485335098335106
NYCMng,CHINng,13.538155195243522
ATLAng,KSCYng,1.409984401308591
DNVRng,KSCYng,9.323162453898684
SNVAng,DNVRng,14.288087783816401
IPLSng,SNVAng,33.074084022423506
LOSAng,SNVAng,42.118437849476535
CHINng,HSTNng,2.3469165384751114
IPLSng,ATLAM5,1.5607651876102995
ATLAng,HSTNng,3.1321013845086294
ATLAM5,NYCMng,1.7132485572718308
HSTNng,ATLAM5,1.155409520910223
LOSAng,IPLSng,7.528007453191868
NYCMng,LOSAng,17.994611758150267
SNVAng,NYCMng,24.244448742546318
HSTNng,SNVAng,44.70373472969316
SNVAng,CHINng,14.19094242806087
ATLAM5,DNVRng,0.22027003609719203
ATLAM5,ATLAng,0.10163616669244586
KSCYng,HSTNng,7.435784715310323
ATLAM5,NYCMng,3.189890521124505
CHINng,KSCYng,9.490423072246017
SNVAng,ATLAng,21.819549139298566
ATLAM5,SNVAng,2.0640032775485246
KSCYng,NYCMng,73.71600835331759
ATLAM5,CHINng,0.33660236209804223
SNVAng,HSTNng,30.460197666235437
DNVRng,NYCMng,13.394359688359469
STTLng,CHINng,18.209483791000746
KSCYng,ATLAng,2.770847729831059
ATLAM5,SNVAng,1.6276363841035748
HSTNng,LOSAng,21.235773496309566
ATLAng,HSTNng,3.0690033445515597
LOSAng,IPLSng,16.050065352741544
NYCMng,IPLSng,26.800067506130194
ATLAng,IPLSng,5.564341796169076
NYCMng,ATLAng,13.555510152762608
HSTNng,SNVAng,33.786561359406825
HSTNng,SNVAng,37.6670273259141
SNVAng,LOSAng,22.8993319366124
CHINng,IPLSng,4.971166342353845
DNVRng,SNVAng,18.6970239159962
CHINng,DNVRng,2.3123769213310887
CHINng,NYCMng,7.024244525318549
HSTNng,IPLSng,7.369668783054906
KSCYng,LOSAng,35.79077413408339
DNVRng,ATLAng,1.143500239082858
HSTNng,KSCYng,13.78800139166478
KSCYng,ATLAng,1.4564625733210166
NYCMng,ATLAng,9.510429217887205
LOSAng,HSTNng,13.419254431853977
SNVAng,NYCMng,22.816706009211636
NYCMng,ATLAng,14.294893370276064
DNVRng,LOSAng,18.18471879828273
DNVRng,KSCYng,10.038298890636822
STTLng,LOSAng,49.372386028940326
IPLSng,ATLAng,2.2507652793699604
NYCMng,CHINng,10.904378203251877
LOSAng,SNVAng,40.030763678984734
KSCYng,ATLAM5,0.48589759101478475
ATLAM5,NYCMng,2.7618830588040377
DNVRng,IPLSng,6.276478141782472
HSTNng,ATLAng,1.787978279643451
DNVRng,KSCYng,14.815557919114017
ATLAM5,DNVRng,0.8261056104080977
CHINng,KSCYng,7.691836796431604
SNVAng,LOSAng,37.7267000244881
