source,target,demand_value
CHINng,DNVRng,9.060837439250323
ATLAM5,HSTNng,0.7744801564355245
IPLSng,DNVRng,11.598311778666082
IPLSng,DNVRng,3.2141736371167737
CHINng,DNVRng,11.20048470213286
KSCYng,SNVAng,1.1175066396997346
ATLAng,ATLAM5,0.013353318696193611
WASHng,STTLng,20.118908326961044
DNVRng,LOSAng,8.03428849612731
WASHng,IPLSng,3.8055759380446776
CHINng,HSTNng,25.91427993973361
IPLSng,HSTNng,3.6690196605227796
SNVAng,IPLSng,13.082835975831813
KSCYng,IPLSng,22.511231592074047
IPLSng,ATLAng,1.5356039089897733
WASHng,STTLng,25.188763672807756
IPLSng,LOSAng,6.481987874573259
DNVRng,CHINng,13.450115212316584
DNVRng,HSTNng,1.8557623180178147
STTLng,ATLAng,26.88772091704446
ATLAng,STTLng,10.506839050467295
NYCMng,SNVAng,29.15756265436205
ATLAM5,DNVRng,0.6152891849394425
WASHng,STTLng,26.951084443368526
ATLAM5,HSTNng,0.022931254812627613
NYCMng,ATLAng,14.57551080261168
HSTNng,WASHng,0.013333000001356047
IPLSng,ATLAng,2.472765830858222
IPLSng,SNVAng,0.2685324928014767
HSTNng,IPLSng,3.3119878793096404
STTLng,IPLSng,4.086432239641126
NYCMng,ATLAng,12.04343698478691
IPLSng,WASHng,3.1407188840272555
ATLAM5,SNVAng,0.21900257264146422
NYCMng,STTLng,34.68241214688068
STTLng,HSTNng,24.01243232109249
KSCYng,ATLAM5,0.15654503487730295
KSCYng,NYCMng,1.2150482418730655
LOSAng,SNVAng,11.502391933755002
IPLSng,HSTNng,2.6163459069659107
KSCYng,WASHng,12.656907220763214
LOSAng,NYCMng,44.966986176847314
ATLAM5,DNVRng,1.1423135380659122
CHINng,WASHng,32.082361299970934
STTLng,WASHng,31.656982080192552
NYCMng,ATLAM5,0.01667978707928031
ATLAM5,IPLSng,0.343326054281242
CHINng,SNVAng,6.801145083797119
DNVRng,KSCYng,21.483535757453026
HSTNng,WASHng,0.013333001831723704
ATLAM5,WASHng,0.30214444294685583
CHINng,ATLAM5,0.1905628042713822
STTLng,KSCYng,2.627192947386415
HSTNng,KSCYng,8.786124909777499
CHINng,ATLAM5,0.08610605172517435
ATLAM5,ATLAng,0.6429415292174269
CHINng,DNVRng,6.19287760154925
IPLSng,DNVRng,4.791944368321983
IPLSng,LOSAng,21.775993899969993
DNVRng,NYCMng,12.524392216039256
LOSAng,IPLSng,5.926759058333257
ATLAM5,IPLSng,0.3361588942582001
WASHng,STTLng,25.22294833416474
KSCYng,HSTNng,11.565471776669662
HSTNng,ATLAM5,0.031767504643117214
ATLAng,WASHng,39.454602543861846
DNVRng,STTLng,8.152845466584656
HSTNng,SNVAng,0.07155509380403553
HSTNng,NYCMng,4.068618137316711
STTLng,WASHng,40.81713233817231
STTLng,WASHng,14.79619055835769
IPLSng,DNVRng,4.471202179363593
ATLAng,WASHng,14.686649857175173
ATLAM5,NYCMng,0.09366230127442438
ATLAng,ATLAM5,0.01385654341126054
ATLAM5,CHINng,0.9283437054762891
WASHng,LOSAng,67.8908297344705
WASHng,ATLAng,32.795570570072904
LOSAng,SNVAng,15.072240452474839
ATLAM5,KSCYng,0.902772888214793
ATLAng,LOSAng,9.284868711847412
LOSAng,NYCMng,32.402599342984615
HSTNng,SNVAng,0.013340097101075974
ATLAM5,WASHng,2.766921818580463
CHINng,ATLAng,2.4241629602183727
KSCYng,NYCMng,4.292792062142529
STTLng,CHINng,32.4236891781636
ATLAng,LOSAng,7.367138064375879
NYCMng,KSCYng,11.178742395112254
SNVAng,KSCYng,22.346907571915843
SNVAng,HSTNng,12.380847600357743
CHINng,ATLAng,7.1483217033676265
SNVAng,LOSAng,3.6038425866886095
LOSAng,NYCMng,63.06329027274288
KSCYng,WASHng,32.40975140699766
STTLng,KSCYng,5.492972272824219
WASHng,KSCYng,23.20225033536855
ATLAng,WASHng,35.001829939579174
ATLAM5,IPLSng,0.022206628919009704
SNVAng,KSCYng,6.382553597481699
CHINng,SNVAng,12.292044156402522
WASHng,LOSAng,67.87092326437073
ATLAng,IPLSng,7.927403071656797
KSCYng,WASHng,27.623701049157127
ATLAng,LOSAng,3.113215372223704
IPLSng,WASHng,4.105693127353491
KSCYng,ATLAM5,0.3471437237632714
STTLng,IPLSng,4.489007771185726
DNVRng,HSTNng,2.334991133092942
SNVAng,LOSAng,2.2839104905029712
LOSAng,CHINng,17.434201487541543
STTLng,IPLSng,8.6589431531503
IPLSng,ATLAng,0.22854858269003606
DNVRng,LOSAng,58.43962029844414
CHINng,NYCMng,14.316511091923628
DNVRng,IPLSng,12.423373364475179
KSCYng,CHINng,16.170028783890945
SNVAng,ATLAM5,0.046278221312766064
KSCYng,WASHng,5.682018086325783
CHINng,WASHng,24.041740869903865
CHINng,SNVAng,6.90946513579518
CHINng,ATLAng,33.15590037355135
ATLAng,NYCMng,3.8517733760038038
STTLng,ATLAng,25.45118379488917
ATLAM5,SNVAng,0.5545663458948995
CHINng,ATLAng,10.21284496491942
HSTNng,KSCYng,9.186625905075342
LOSAng,CHINng,12.571283462565377
