source,target,demand_value
CHINng,ATLAng,5.0046096715166595
NYCMng,ATLAM5,0.13946744046814966
IPLSng,CHINng,45.50136977343116
HSTNng,SNVAng,4.790535486729896
NYCMng,HSTNng,13.845688575264553
HSTNng,SNVAng,21.549735595841806
IPLSng,CHINng,69.13018772984374
IPLSng,SNVAng,9.672876087385298
ATLAM5,SNVAng,0.8339726314669234
DNVRng,HSTNng,41.821752438024724
ATLAM5,IPLSng,6.1641924075915
WASHng,NYCMng,101.32681084515734
LOSAng,ATLAM5,0.013363215799944162
WASHng,LOSAng,90.65592438174438
STTLng,IPLSng,26.283971946342593
HSTNng,NYCMng,207.38240545921843
DNVRng,HSTNng,16.024971859179452
LOSAng,CHINng,31.249035513109625
KSCYng,LOSAng,104.34237793858324
ATLAM5,WASHng,0.7495740348485755
ATLAM5,ATLAng,0.01595003225853077
ATLAM5,LOSAng,4.891803624790139
CHINng,WASHng,305.65982236152
SNVAng,CHINng,60.76175953732885
IPLSng,HSTNng,11.865407283144098
ATLAng,KSCYng,18.456191643279
ATLAng,WASHng,13.278171077929308
IPLSng,STTLng,7.762360901239448
ATLAng,WASHng,6.577244776262123
WASHng,SNVAng,58.16314990510694
KSCYng,SNVAng,1.473151790857504
STTLng,IPLSng,17.811403191355623
LOSAng,STTLng,82.31860360519721
SNVAng,DNVRng,24.090953878812375
DNVRng,CHINng,21.78540057953851
STTLng,ATLAng,39.64458805815171
NYCMng,ATLAng,16.560041555181154
ATLAng,ATLAM5,0.01338451039042558
LOSAng,NYCMng,110.19046738570884
IPLSng,SNVAng,23.372247816506487
ATLAM5,NYCMng,1.310630660449365
CHINng,SNVAng,0.4054463857126113
ATLAM5,KSCYng,6.6831756936100435
WASHng,NYCMng,15.156406903708987
ATLAM5,KSCYng,7.025423336206878
STTLng,CHINng,45.49234181373809
DNVRng,CHINng,48.63666684917887
LOSAng,NYCMng,56.03537027415621
KSCYng,ATLAng,30.076943505616722
DNVRng,SNVAng,2.6296628600688168
WASHng,ATLAng,75.76278592333553
NYCMng,ATLAng,2.575411476624493
STTLng,ATLAM5,0.16014223001841124
ATLAng,WASHng,7.206032526680438
CHINng,DNVRng,20.991868635061373
NYCMng,IPLSng,7.701916782653608
ATLAng,IPLSng,37.50496399168594
WASHng,ATLAng,48.83858173883314
KSCYng,ATLAng,9.91539477334108
DNVRng,CHINng,32.13475644894619
NYCMng,DNVRng,13.197181327708119
IPLSng,NYCMng,1.0068434326040876
ATLAng,LOSAng,6.753195949030123
CHINng,NYCMng,1.1392592368808845
STTLng,STTLng,25.624492823193993
CHINng,WASHng,78.36493817265217
SNVAng,ATLAng,7.307239954568694
LOSAng,IPLSng,13.326709455630363
IPLSng,SNVAng,13.77777412953554
SNVAng,WASHng,1.7764779636343977
ATLAM5,NYCMng,0.1503941926297901
IPLSng,NYCMng,1.5379902545391972
ATLAng,LOSAng,1.506440606632394
DNVRng,LOSAng,3.0373042858616928
HSTNng,KSCYng,19.92782168737616
LOSAng,IPLSng,9.915479886621414
LOSAng,NYCMng,7.249843248537477
LOSAng,CHINng,98.13919826669458
NYCMng,HSTNng,31.394716117966894
HSTNng,WASHng,59.74750445383688
KSCYng,IPLSng,51.3501877426206
DNVRng,SNVAng,2.8401899637775987
IPLSng,NYCMng,4.081265987382457
SNVAng,NYCMng,47.19026961911308
ATLAng,NYCMng,1.901904286162075
ATLAM5,SNVAng,0.5264515048453082
CHINng,LOSAng,1.2952092351686795
WASHng,LOSAng,73.77409686759269
KSCYng,STTLng,8.259731961228525
CHINng,NYCMng,3.9878229143330755
ATLAng,LOSAng,15.723950589745874
SNVAng,CHINng,54.10177748508451
IPLSng,LOSAng,6.620262694696749
HSTNng,ATLAng,8.949265595499318
NYCMng,WASHng,166.10880216294768
CHINng,HSTNng,56.56071562908029
HSTNng,NYCMng,1.5569647128755104
WASHng,NYCMng,31.08950584666624
KSCYng,WASHng,43.02644699826996
ATLAng,WASHng,3.7923745507920255
SNVAng,WASHng,3.0144105990450973
SNVAng,NYCMng,11.807373120307021
KSCYng,LOSAng,122.30944620242111
LOSAng,ATLAng,32.70481782152723
LOSAng,WASHng,73.62754489320808
STTLng,ATLAM5,0.06928150617032207
WASHng,KSCYng,62.329467594979164
IPLSng,KSCYng,65.76344443215461
NYCMng,KSCYng,9.8331699877584
NYCMng,LOSAng,64.07599686901825
SNVAng,ATLAng,16.57399060999172
IPLSng,SNVAng,11.122213594408086
IPLSng,HSTNng,21.95729845552976
IPLSng,NYCMng,3.9543457184656976
LOSAng,ATLAM5,0.02089833209885849
NYCMng,ATLAng,13.77508621643072
SNVAng,LOSAng,15.170689269267719
DNVRng,LOSAng,2.5819155001968817
KSCYng,CHINng,82.17846072034155
WASHng,NYCMng,63.520415467653784
IPLSng,HSTNng,22.727170098469532
ATLAng,STTLng,1.687414504536197
LOSAng,IPLSng,15.203887019784629
KSCYng,LOSAng,2.245414640816455
ATLAng,IPLSng,27.212992329156428
CHINng,KSCYng,20.797755597705144
STTLng,CHINng,24.367518472099583
WASHng,KSCYng,66.44279363747577
DNVRng,CHINng,28.75083574377145
NYCMng,HSTNng,22.046797152993303
LOSAng,SNVAng,1.44521648137608
SNVAng,NYCMng,15.746555010448887
CHINng,SNVAng,1.265477470034328
LOSAng,WASHng,69.23019523903861
ATLAng,WASHng,1.4237825170771035
HSTNng,KSCYng,16.48009221065244
LOSAng,NYCMng,78.49537695315422
IPLSng,ATLAng,43.096604149175896
LOSAng,DNVRng,30.03770568818491
CHINng,NYCMng,1.5835242227241206
HSTNng,DNVRng,26.638386026445097
HSTNng,ATLAng,41.914474726581204
SNVAng,HSTNng,7.168079146024578
WASHng,LOSAng,86.20017868449696
CHINng,WASHng,265.62451611049136
DNVRng,HSTNng,35.413341434537585
LOSAng,IPLSng,4.928444891973995
NYCMng,HSTNng,25.423477872559758
KSCYng,IPLSng,63.5692216843489
KSCYng,LOSAng,87.04036937213463
WASHng,LOSAng,92.35547588662114
SNVAng,ATLAng,22.663550599809685
WASHng,STTLng,26.501483398219776
IPLSng,KSCYng,44.989152100402535
NYCMng,IPLSng,13.54498395104173
KSCYng,HSTNng,29.479700641523095
NYCMng,WASHng,185.67981888592527
LOSAng,KSCYng,77.27357878994617
ATLAng,SNVAng,3.6431001418322575
KSCYng,ATLAng,17.585256610309994
NYCMng,CHINng,24.04735445216176
