source,target,demand_value
SNVAng,IPLSng,0.812416
IPLSng,SNVAng,2.00611
WASHng,ATLAng,23.943307
ATLAng,SNVAng,2.916767
WASHng,KSCYng,2.99941
IPLSng,STTLng,26.089349
HSTNng,STTLng,7.780681
CHINng,STTLng,22.048097
HSTNng,ATLAM5,0.013333
ATLAM5,CHINng,2.287846
WASHng,IPLSng,9.127762
DNVRng,STTLng,37.498575
ATLAM5,HSTNng,0.013333
ATLAng,LOSAng,38.691505
NYCMng,HSTNng,29.267854
WASHng,ATLAng,34.115413
SNVAng,STTLng,7.041696
CHINng,HSTNng,6.688118
NYCMng,HSTNng,31.618022
WASHng,STTLng,16.210684
KSCYng,STTLng,2.871962
DNVRng,SNVAng,7.004508
CHINng,NYCMng,19.099764
LOSAng,WASHng,11.903222
LOSAng,ATLAM5,1.454965
KSCYng,WASHng,13.33094
ATLAM5,CHINng,0.013333
KSCYng,IPLSng,7.166672
CHINng,ATLAng,13.15428
SNVAng,WASHng,0.013333
NYCMng,IPLSng,8.983569
ATLAng,LOSAng,14.371764
DNVRng,SNVAng,1.752979
STTLng,NYCMng,5.751478
STTLng,ATLAng,9.341645
IPLSng,STTLng,8.705829
KSCYng,CHINng,9.829978
KSCYng,WASHng,12.093749
DNVRng,LOSAng,12.882511
WASHng,ATLAng,96.904764
CHINng,HSTNng,9.767448
KSCYng,STTLng,2.24694
IPLSng,SNVAng,2.281959
STTLng,LOSAng,7.599699
NYCMng,ATLAng,46.032174
DNVRng,KSCYng,2.888885
KSCYng,HSTNng,9.275638
WASHng,WASHng,37.271881
ATLAM5,LOSAng,0.013333
HSTNng,ATLAng,1.927771
IPLSng,WASHng,27.179995
ATLAng,STTLng,18.753444
STTLng,LOSAng,8.859686
CHINng,SNVAng,2.130629
WASHng,KSCYng,6.19211
CHINng,ATLAM5,0.196515
DNVRng,SNVAng,13.735823
HSTNng,KSCYng,1.569493
KSCYng,WASHng,7.788777
CHINng,NYCMng,119.63141
WASHng,DNVRng,23.666188
IPLSng,SNVAng,0.013333
LOSAng,ATLAM5,23.521319
LOSAng,NYCMng,18.981161
ATLAng,HSTNng,8.462972
ATLAng,DNVRng,5.179553
DNVRng,SNVAng,21.863337
ATLAng,KSCYng,35.472714
ATLAM5,IPLSng,0.013333
ATLAM5,ATLAng,0.013333
LOSAng,SNVAng,2.05022
WASHng,CHINng,81.569501
STTLng,NYCMng,1.405353
WASHng,STTLng,67.695764
CHINng,ATLAM5,0.013333
CHINng,NYCMng,21.792066
SNVAng,NYCMng,3.320125
ATLAng,LOSAng,8.08898
HSTNng,SNVAng,0.013333
STTLng,SNVAng,4.372967
WASHng,DNVRng,43.833809
DNVRng,ATLAM5,0.013333
SNVAng,WASHng,7.456459
SNVAng,NYCMng,1.597576
NYCMng,DNVRng,1.989047
